Algorithme,N,serie,TempsMoyen
counting_sort,1000,1,0.000465817
counting_sort,1000,3,0.001178034
counting_sort,5000,1,0.002416828
counting_sort,5000,3,0.006483827
counting_sort,10000,1,0.00537082
counting_sort,10000,3,0.011700099
counting_sort,50000,1,0.021676111
counting_sort,50000,3,0.057046118
counting_sort,100000,1,0.041198703
counting_sort,100000,3,0.107708083
counting_sort,500000,1,0.257418029
counting_sort,500000,3,0.660142886
quicksort_fp,1000,1,0.002790121
quicksort_fp,1000,2,0.003903404
quicksort_fp,1000,3,0.020487688
quicksort_fp,5000,1,0.01418148
quicksort_fp,5000,2,0.013496957
quicksort_fp,5000,3,0.140209311
quicksort_fp,10000,1,0.035559557
quicksort_fp,10000,2,0.034603627
quicksort_fp,10000,3,0.47453205
quicksort_fp,50000,1,0.169000439
quicksort_fp,50000,2,0.173671922
quicksort_fp,50000,3,3.531198909
quicksort_fp,100000,1,0.346501099
quicksort_fp,100000,2,0.350775822
quicksort_fp,100000,3,8.981869051
quicksort_fp,500000,1,2.205449003
quicksort_fp,500000,2,2.062455141
quicksort_fp,500000,3,????
quicksort_fp_t,1000,1,0.003176017
quicksort_fp_t,1000,2,0.00208146
quicksort_fp_t,1000,3,0.017869774
quicksort_fp_t,5000,1,0.012200366
quicksort_fp_t,5000,2,0.012301501
quicksort_fp_t,5000,3,0.133823657
quicksort_fp_t,10000,1,0.026881836
quicksort_fp_t,10000,2,0.032895105
quicksort_fp_t,10000,3,0.457709742
quicksort_fp_t,50000,1,0.152404541
quicksort_fp_t,50000,2,0.154038594
quicksort_fp_t,50000,3,3.367041883
quicksort_fp_t,100000,1,0.317408895
quicksort_fp_t,100000,2,0.329101844
quicksort_fp_t,100000,3,8.889978082
quicksort_fp_t,500000,1,1.900445669
quicksort_fp_t,500000,2,1.910001612
quicksort_fp_t,500000,3,????
quicksort_rp,1000,1,0.00721987
quicksort_rp,1000,2,0.0065106
quicksort_rp,1000,3,0.006998244
quicksort_rp,5000,1,0.064122415
quicksort_rp,5000,2,0.062720887
quicksort_rp,5000,3,0.067897578
quicksort_rp,10000,1,0.173594138
quicksort_rp,10000,2,0.179104092
quicksort_rp,10000,3,0.178796505
quicksort_rp,50000,1,1.86638548
quicksort_rp,50000,2,1.840339508
quicksort_rp,50000,3,2.405733815
quicksort_rp,100000,1,6.474750246
quicksort_rp,100000,2,6.54314606
quicksort_rp,100000,3,6.342009768
quicksort_rp,500000,1,58.30169432
quicksort_rp,500000,2,56.47170087
quicksort_rp,500000,3,56.87190793
quicksort_rp_t,1000,1,0.006277451
quicksort_rp_t,1000,2,0.008468292
quicksort_rp_t,1000,3,0.025269104
quicksort_rp_t,5000,1,0.081594898
quicksort_rp_t,5000,2,0.063645113
quicksort_rp_t,5000,3,0.066015189
quicksort_rp_t,10000,1,0.180685633
quicksort_rp_t,10000,2,0.170948724
quicksort_rp_t,10000,3,0.175513588
quicksort_rp_t,50000,1,2.282471923
quicksort_rp_t,50000,2,2.155283318
quicksort_rp_t,50000,3,2.009950163
quicksort_rp_t,100000,1,6.264415242
quicksort_rp_t,100000,2,6.287718236
quicksort_rp_t,100000,3,6.020554635
quicksort_rp_t,500000,1,73.06431358
quicksort_rp_t,500000,2,71.48351024
quicksort_rp_t,500000,3,72.40876229
